Timestamp,RDCC_TR_B2_1002_I1.PV,RDCC_TR_B2_1002_MW.PV,RDCC_TR_B2_1002_V1.PV,RDCC_HVS_B2_2001B_I1.PV,RDCC_HVS_B2_2001B_MW.PV,RDCC_HVS_B2_2001B_V1.PV
2020-01-01 15:00:00,108.259727,19.4614372,117.126152,1118.13562,19638.23,11.0213232
2020-01-01 19:00:00,109.197334,19.5421352,116.738007,1129.036,19728.834,10.9833126
2020-01-01 23:00:00,109.073135,19.7586861,118.651794,1138.61572,19957.3926,11.062583
2020-01-02 03:00:00,107.7568,19.7949867,119.756004,1144.20471,19965.0254,10.9760847
2020-01-02 07:00:00,107.763977,19.6234818,118.7586,1132.39368,19806.9043,10.9972935
2020-01-02 11:00:00,107.467567,19.4368343,117.636246,1117.32275,19612.8555,10.9743357
2020-01-02 15:00:00,107.667664,19.4847069,117.697762,1120.92944,19651.1465,10.9584522
2020-01-02 19:00:00,107.337364,19.41577,117.666542,1119.38147,19574.7832,10.9550495
2020-01-02 23:00:00,108.114349,19.6420555,118.783371,1127.06079,19804.4277,11.0531311
2020-01-03 03:00:00,108.890343,19.771637,118.16069,1136.95691,19965.7441,10.9956837
2020-01-03 07:00:00,111.019844,20.0647659,117.404259,1143.79321,20241.9355,11.04717
2020-01-03 11:00:00,107.581963,19.4043846,117.187729,1107.523,19538.0078,11.0289555
2020-01-03 15:00:00,106.805664,19.3736668,117.929909,1108.19763,19555.6816,11.0291653
2020-01-03 19:00:00,107.516449,19.4957829,118.01577,1119.37708,19656.7637,10.9936028
2020-01-03 23:00:00,108.11776,19.5079136,117.7655,1118.97144,19677.8164,11.0496063
2020-01-04 03:00:00,105.609848,19.3191013,118.912582,1111.28638,19503.7266,10.9945126
2020-01-04 07:00:00,105.47583,19.2051449,118.323372,1104.15234,19385.0313,10.9970961
2020-01-04 11:00:00,102.873405,18.62002,117.113213,1066.029,18775.7559,10.9820747
2020-01-04 15:00:00,101.3375,18.51244,118.145592,1059.04749,18687.252,10.9945564
2020-01-04 19:00:00,101.73465,18.49527,117.732193,1057.26648,18647.6152,11.0159
2020-01-04 23:00:00,102.426743,18.60907,118.009491,1064.22363,18760.6816,11.0383863
2020-01-05 03:00:00,101.314377,18.6387978,119.226242,1066.25208,18773.6621,11.0304031
2020-01-05 07:00:00,101.891129,18.6466827,118.62162,1068.22437,18805.46,11.0031452
2020-01-05 11:00:00,98.6201859,17.9998455,117.505234,1023.05768,18125.7383,11.0118408
2020-01-05 15:00:00,98.2839355,17.9097729,117.005188,1017.64996,18034.0371,11.0131464
2020-01-05 19:00:00,98.2071457,17.93747,117.524765,1021.42059,18082.5586,11.0042524
2020-01-05 23:00:00,99.0542,18.12609,117.974411,1036.75757,18265.8672,10.9811363
2020-01-06 03:00:00,95.80017,17.5173149,117.313271,993.629456,17643.1582,11.0446177
2020-01-06 07:00:00,94.7345047,17.4076271,117.748436,991.0486,17545.7832,10.9819355
2020-01-06 11:00:00,93.95817,17.25593,117.346016,972.981,17386.9238,11.0225658
2020-01-06 15:00:00,95.15646,17.5532417,117.540611,987.2449,17683.3613,11.0318356
2020-01-06 19:00:00,95.0459747,17.5489922,117.9755,992.2599,17668.56,10.9926529
2020-01-06 23:00:00,95.0694351,17.5760479,118.495544,992.5951,17680.8242,11.04489
2020-01-07 03:00:00,93.994194,17.3198643,117.644821,979.722351,17429.2578,11.0320053
2020-01-07 07:00:00,93.82043,17.1932583,117.0942,969.3615,17295.957,11.0611944
2020-01-07 11:00:00,93.26866,17.0471458,116.453072,962.004456,17150.3672,10.9898167
2020-01-07 15:00:00,90.6926041,16.6555386,116.57653,935.585754,16765.4941,11.0217113
2020-01-07 19:00:00,90.27285,16.64663,117.323151,934.8233,16749.957,11.0365191
2020-01-07 23:00:00,90.99389,16.914566,118.446732,954.1956,17041.3184,11.0400763
2020-01-08 03:00:00,91.0155258,16.9351368,118.4381,955.1638,17056.6445,11.0500336
2020-01-08 07:00:00,91.67715,17.01677,118.272476,961.921,17155.6973,11.03216
2020-01-08 11:00:00,89.99353,16.6191826,117.103676,933.4264,16717.168,11.01296
2020-01-08 15:00:00,90.00759,16.7456474,118.061684,939.424,16818.5938,10.9952383
2020-01-08 19:00:00,90.40125,16.79849,117.673447,947.5953,16883.88,10.9271545
2020-01-08 23:00:00,94.22137,17.2859669,117.126656,979.033264,17374.6074,10.9776354
2020-01-09 03:00:00,92.17407,17.0723228,117.881287,965.6988,17173.7148,10.9960756
2020-01-09 07:00:00,91.9564362,17.0052986,117.70607,961.8505,17089.0273,10.9969769
2020-01-09 11:00:00,91.38136,16.9039078,117.432022,949.487061,16991.1035,11.00644
2020-01-09 15:00:00,91.85442,16.93894,117.097168,953.2361,17030.9473,10.9880362
2020-01-09 19:00:00,91.6979446,17.00443,118.156822,955.863,17100.0586,11.0222654
2020-01-09 23:00:00,91.76952,17.1154823,119.020683,964.1911,17205.8789,11.0456858
2020-01-10 03:00:00,90.89782,16.93813,118.507118,957.4455,17045.4434,10.9972858
2020-01-10 07:00:00,92.19671,16.9508362,117.038513,956.241333,17048.0352,11.0164537
2020-01-10 11:00:00,90.91722,16.8036823,117.350632,947.113342,16897.0645,10.9748974
2020-01-10 15:00:00,90.3402557,16.7319736,117.482056,941.282654,16825.8281,10.9892588
2020-01-10 19:00:00,90.74151,16.77321,117.552719,943.883667,16888.08,11.0241089
2020-01-10 23:00:00,91.6847,16.979929,117.991447,959.489746,17054.2773,11.0033588
2020-01-11 03:00:00,92.5566254,17.1512814,117.954033,969.783,17246.45,11.0006447
2020-01-11 07:00:00,93.08458,17.2515049,118.113487,976.1618,17362.3281,11.014432
2020-01-11 11:00:00,91.11417,16.6437244,117.490662,949.5403,16769.959,10.9937134
2020-01-11 15:00:00,93.82413,16.7859516,117.585541,972.671753,16986.07,11.0466871
2020-01-11 19:00:00,95.0630951,17.0108185,117.777267,988.7252,17222.16,11.0149183
2020-01-11 23:00:00,98.42177,17.5719967,118.055092,1022.38873,17776.709,11.0575581
2020-01-12 03:00:00,95.24806,17.15895,118.745178,999.6443,17371.293,11.042469
2020-01-12 07:00:00,94.98822,17.1378174,118.86203,997.359741,17265.457,11.02056
2020-01-12 11:00:00,92.92277,16.5368443,117.235168,963.1539,16715.332,11.0184755
